Servicio,Region,Comuna,Tipo_1,Dependencia,Tipo,Nombre,Direccion,Telefono,Fax
Arica,15,ARICA,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Arica),Arturo Prat N° 305,,
Arica,15,ARICA,OTRO,Seremi,Oficina Sanitaria,Oficina Sanitaria Chacalluta,Puesto Fronterizo Chacalluta,,
Arica,15,ARICA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Dr Juan Noé Crevanni (Arica),18 de Septiembre N° 1000,058-257562,058-257562
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Víctor Bertín Soto,Belén N° 1635,800500103,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Dr Amador Neghme de Arica,Cancha Rayada N° 4149,800500101,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Iris Véliz Hume,Barros Luco N° 2699 (esquina Las Torres),800500102,
Arica,15,PUTRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Putre,Baquedano N° 261,058-200261,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Remigio Sapunar,Silva Arriagada N° 1020,058-204306,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural San Miguel de Azapa,"Valle de Azapa Km 2 Los Araucanos N° S/N, Aldea de San Miguel",,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Poconchile,"Valle de Lluta Km 38, Caserío de Poconchile",,
Arica,15,PUTRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Belén (Putre),Caserío de Belén,,
Arica,15,GENERAL LAGOS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Visviri,Caserío de Visviri,,
Arica,15,GENERAL LAGOS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Alcérreca,Caserío de Alcérreca,,
Arica,15,CAMARONES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Codpa,Caserío de Codpa,,
Arica,15,PUTRE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Ticnamar,Caserío de Tignamar,,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Sobraya,"Valle de Azapa Km 27, Sector Sobraya",,
Arica,15,ARICA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,ESSMA Norte de Arica,La Proveedora N° S/N (esquina Llacolén),058-204050,
Arica,15,ARICA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Servicio,Consultorio de Salud Mental,ESSMA Sur de Arica,San Martín N° 235,058-204100,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Dr Miguel Massa,"Francisco Urzua N° 4224, Loteo Pob Las Vizcachas",058-204811,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Dr René García Valenzuela,El Retiro N° 3473 (esquina Gorbea) Población Los Industriales III,058-204820,
Arica,15,ARICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Cerro La Cruz,Rafael Sotomayor N° 1496,058-204370,
Arica,15,ARICA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU Dr Amador Neghme de Arica,Cancha Rayada N° 4149,058-204820,
Iquique,1,IQUIQUE,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Iquique),Thompson N° 1846,057-406100,
Iquique,1,IQUIQUE,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Dr Ernesto Torres Galdames (Iquique),Héroes de la Concepción N° 502,057-415555,057-427869
Iquique,1,IQUIQUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Cirujano Aguirre,Pasaje 3 Pintados N° S/N (esquina Avda Pedro Prado),800500105,
Iquique,1,IQUIQUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Cirujano Videla,Obispo Labbé N° S/N,800500107,
Iquique,1,IQUIQUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Consultorio Cirujano Guzmán,Avda Pedro Prado N° 2763,800500106,
Iquique,1,POZO ALMONTE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Pozo Almonte,Aldunate N° S/N (Esquina Comercio),057-761214,
Iquique,1,PICA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Pica,Balmaceda N° S/N,057-741306,
Iquique,1,ALTO HOSPICIO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Pedro Pulgar Melgarejo,"Los Álamos N° S/N, Alto Hospicio",800500108,
Iquique,1,IQUIQUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Sur de Iquique,Avda Cerro Dragón N° S/N,800500109,
